dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_8_0.0002_3EpochsLast,8785,4834,2081,0.645054702988472,0.8084851831400699,0.7175821931794977,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast,0,0,10866,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast,7493,6667,3373,0.5291666666666667,0.6895821829560096,0.5988172300807161,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,5166,4408,5700,0.5395863797785669,0.4754279403644395,0.5054794520547945,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_4_0.0002_3EpochsLast,6428,4108,4438,0.6100987091875475,0.5915700349714706,0.6006915241566209,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_4_0.0002_3EpochsLast,5299,4537,5567,0.5387352582350549,0.4876679550892693,0.5119312143754227,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_8_0.0002_3EpochsLast,194,109,10672,0.6402640264026402,0.01785385606478925,0.0347390097591548,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,1652,1571,9214,0.5125659323611542,0.15203386710841155,0.23450919156788982,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,12,33,10854,0.26666666666666666,0.0011043622308117063,0.0021996150673632116,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,2879,1823,7987,0.612292641429179,0.2649549052089085,0.3698612538540596,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast,13,15,10853,0.4642857142857143,0.0011963924167126818,0.002386634844868735,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,6762,6146,4104,0.5238611713665944,0.6223081170623964,0.5688567342474973,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,190,84,10676,0.6934306569343066,0.017485735321185348,0.0341113105924596,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_2_0.0002_3EpochsLast,7722,6984,3144,0.5250917992656059,0.7106570955273329,0.6039418113561708,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_2_0.0002_3EpochsLast,4922,4444,5944,0.5255178304505659,0.45297257500460153,0.48655595096876236,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_2_0.0002_3EpochsLast,8596,2477,2270,0.7763027183238508,0.7910914780047855,0.7836273303249921,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_8_0.0002_3EpochsLast,5083,4277,5783,0.5430555555555555,0.4677894349346586,0.5026203895975476,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_8_0.0002_3EpochsLast,5420,4526,5446,0.5449426905288558,0.49880360758328735,0.5208533538343264,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast,2103,1921,8763,0.5226143141153081,0.1935394809497515,0.2824714573539288,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,4,0.0002,3EpochsLast
